# List of CORDEX RCMs (short, machine readable version)  
# Do not change this file - it is auto-generated based on the contents 
# of the CORDEX RCM registration sheet  
# To register CORDEX simulations please contact cordex-registration /at/ smhi.se 
# Timestamp:  2017-01-08 12:37:00
# -------------------------------------------------------------- 
# model id           institute id             ToU  
# --------------------------------------------------------------- 
AUTH-LHTEE-WRF321B       AUTH-LHTEE     unknown        
AUTH-MC-WRF371M          AUTH-MC        unrestricted   
AWI-HIRHAM5              AWI            unrestricted   
BCCR-WRF331              BCCR           unrestricted   
BCCR-WRF331C             BCCR           unrestricted   
BCCR-WRF361              BCCR           unrestricted   
CCCma-CanRCM4            CCCma          unrestricted   
CHMI-ALADIN53            CHMI           non-commercial 
CLMcom-CCLM4-8-17        CLMcom         unrestricted   
CMCC-REMHI               CMCC           non-commercial 
CNRM-ALADIN52            CNRM           non-commercial 
CNRM-ALADIN53            CNRM           non-commercial 
CNRM-ARPEGE52            CNRM           unrestricted   
CNRM-RCSM4               CNRM           non-commercial 
CRP-GL-WRF331A           CRP-GL         unrestricted   
CSIRO-CCAM               CSIRO          unrestricted   
CUNI-RegCM4-2            CUNI           unknown        
DHMZ-RegCM4-2            DHMZ           non-commercial 
DMI-HIRHAM5              DMI            unrestricted   
ENEA-RegCM4-3            ENEA           non-commercial 
GERICS-AWI-REMO2009      GERICS-AWI     unrestricted   
GERICS-AWI-ROM1.1        GERICS-AWI     unrestricted   
GERICS-REMO2009          GERICS         unrestricted   
HMS-ALADIN52             HMS            non-commercial 
ICTP-RegCM4-3            ICTP           unrestricted   
IDL-WRF350D              IDL            non-commercial 
IITM-RegCM4-1            IITM           non-commercial 
IPSL-INERIS-WRF331F      IPSL-INERIS    unrestricted   
IPSL-INERIS-WRF361F      IPSL-INERIS    unrestricted   
IPSL-WRF311              IPSL           non-commercial 
IPSL-WRF311NEMO          IPSL           non-commercial 
KNMI-RACMO21P            KNMI           unrestricted   
KNMI-RACMO22E            KNMI           unrestricted   
KNMI-RACMO22T            KNMI           unrestricted   
MGO-RRCM                 MGO            unrestricted   
MIUB-WRF331A             MIUB           unrestricted   
MOHC-HadGEM3-RA          MOHC           unrestricted   
MOHC-HadRM3P             MOHC           unrestricted   
MPI-CSC-REMO2009         MPI-CSC        unrestricted   
MU-WRF360M               MU             non-commercial 
NUIM-WRF341E             NUIM           non-commercial 
OURANOS-CRCM5            OURANOS        unrestricted   
RMIB-Ugent-ALARO-0       RMIB-Ugent     non-commercial 
SMHI-RCA4                SMHI           unrestricted   
SMHI-RCA4-SN             SMHI           unrestricted   
SMHI-RCAO                SMHI           unrestricted   
SMHI-RCAO-SN             SMHI           unrestricted   
UCAN-WRF331G             UCAN           non-commercial 
UCAN-WRF350I             UCAN           non-commercial 
UCLM-PROMES              UCLM           unrestricted   
UHOH-WRF361H             UHOH           non-commercial 
ULg-MAR36                ULg            unrestricted   
UM-RegCM4-3              UM             unrestricted   
UM-WRF331                UM             unrestricted   
UNIBELGRADE-EBU1         UNIBELGRADE    non-commercial 
UNIBELGRADE-EBUPOM2c1    UNIBELGRADE    non-commercial 
UNSW-WRF360J             UNSW           unrestricted   
UNSW-WRF360K             UNSW           unrestricted   
UNSW-WRF360L             UNSW           unrestricted   
UQAM-CRCM5               UQAM           unrestricted   
UQAM-CRCM5-SN            UQAM           unrestricted   
