# List of CORDEX RCMs (full version - including institution names)  
# Do not change this file, its auto-generated based on the contents 
# of the CORDEX RCM registration sheet managed at: 
# https://github.com/IS-ENES-Data/cordex/raw/master/CORDEX_ESGF_register.xlsx 
# Timestamp:  2020-11-03 12:37:14
# ---------------------------------------------------------------------------------------------- 
# model id                institute id   ToU                 institution name
# ----------------------------------------------------------------------------------------------- 
AUTH-MC-WRF371M          AUTH-MC        unrestricted        Aristotle University of Thessaloniki, Department of Meteorology & Climatology 
AWI-HIRHAM5              AWI            unrestricted        Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research
BCCR-WRF331              BCCR           unrestricted        Uni Research and the Bjerknes Centre for Climate Research
BCCR-WRF331C             BCCR           unrestricted        Uni Research and the Bjerknes Centre for Climate Research
BCCR-WRF361              BCCR           unrestricted        Uni Research and the Bjerknes Centre for Climate Research
BOUN-RegCM4-3            BOUN           non-commercial      Bogazici University, Turkey
CCCma-CanRCM4            CCCma          unrestricted        CCCma (Canadian Centre for Climate Modelling and Analysis, Victoria, BC, Canada)
CHMI-ALADIN53            CHMI           non-commercial      Czech Hydrometeorological Institute
CLMcom-BTU-CCLM5-0-14    CLMcom-BTU     unrestricted        BTU, Cottbus, Germany,in collaboration with the CLM-Community
CLMcom-CCLM4-8-17        CLMcom         unrestricted        Climate Limited-area Modelling Community (CLM-Community)
CLMcom-CCLM4-8-17-CLM3-5 CLMcom         unrestricted        Climate Limited-area Modelling Community (CLM-Community)
CLMcom-CCLM5-0-0         CLMcom         unrestricted        Climate Limited-area Modelling Community (CLM-Community)
CLMcom-CCLM5-0-2         CLMcom         unrestricted        Climate Limited-area Modelling Community (CLM-Community)
CLMcom-CCLM5-0-6         CLMcom         unrestricted        Climate Limited-area Modelling Community (CLM-Community)
CLMcom-CMCC-CCLM5-0-9    CLMcom-CMCC    unrestricted        CMCC, REMHI division, Italy in collaboration with the CLM-Community
CLMcom-DWD-CCLM5-0-15    CLMcom-DWD     unrestricted        DWD, Offenbach, Germany in collaboration with the CLM-Community
CLMcom-ETH-COSMO-crCLIM-v1-1CLMcom-ETH     unrestricted        ETH Zurich, Zurich, Switzerland in collaboration with the CLM-Community
CLMcom-GUF-CCLM5-0-9     CLMcom-GUF     unrestricted        Institute for Atmospheric and Environmental Sciences, Goethe University Frankfurt
CLMcom-GUF-CCLM5-0-9-NEMOMED12-3-6CLMcom-GUF     unrestricted        Institute for Atmospheric and Environmental Sciences, Goethe University Frankfurt
CLMcom-GUF-CCLM5-0-9-NEMOMED12-3-6-NEMONORDIC3-3CLMcom-GUF     unrestricted        Institute for Atmospheric and Environmental Sciences, Goethe University Frankfurt
CLMcom-HZG-CCLM5-0-15    CLMcom-HZG     unrestricted        HZG, Geesthacht, Germany in collaboration with the CLM-Community
CLMcom-JLU-CCLM5-0-15    CLMcom-JLU     unrestricted        JLU, Giessen, Germany in collaboration with the CLM-Community
CLMcom-KIT-CCLM5-0-10    CLMcom-KIT     unrestricted        KIT, Karlsruhe, Germany in collaboration with the CLM-Community
CLMcom-KIT-CCLM5-0-14    CLMcom-KIT     unrestricted        KIT, Karlsruhe, Germany in collaboration with the CLM-Community
CLMcom-KIT-CCLM5-0-15    CLMcom-KIT     unrestricted        KIT, Karlsruhe, Germany in collaboration with the CLM-Community
CLMcom-KIT-CCLM5-0-9     CLMcom-KIT     unrestricted        KIT, Karlsruhe, Germany in collaboration with the CLM-Community
CLMcom-WEGC-CCLM5-0-9    CLMcom-WEGC    unrestricted        WEGC, Graz, Austria in collaboration with the CLM-Community
CLMcom-ZAMG-CCLM5-0-14   CLMcom-ZAMG    unrestricted        ZAMG, Vienna, Austria,  in collaboration with the CLM-Community
CMCC-REMHI               CMCC           non-commercial      Centro Euromediterraneo sui Cambiamenti Climatici
CNRM-ALADIN52            CNRM           unrestricted        Météo-France / Centre National de Recherches Météorologiques
CNRM-ALADIN53            CNRM           unrestricted        Météo-France / Centre National de Recherches Météorologiques
CNRM-ALADIN63            CNRM           unrestricted        Météo-France / Centre National de Recherches Météorologiques
CNRM-ALADIN64            CNRM           unrestricted        Météo-France / Centre National de Recherches Météorologiques
CNRM-AROME-41t1          CNRM           unrestricted        Météo-France / Centre National de Recherches Météorologiques
CNRM-ARPEGE52            CNRM           unrestricted        Météo-France / Centre National de Recherches Météorologiques
CNRM-RCSM4               CNRM           unrestricted        Météo-France / Centre National de Recherches Météorologiques
CNRM-RCSM6               CNRM           unrestricted        Météo-France / Centre National de Recherches Météorologiques
CRC-BGS-WRF381           CRC-BGS        non-commercial      Centre de Recherches de Climatologie, Biogéoscience, Université de Bourgogne Franche-Comté
CRP-GL-WRF331A           CRP-GL         unrestricted        Public Research Centre - Gabriel Lippmann, Luxembourg
CSIRO-CCAM               CSIRO          unrestricted        Commonwealth Scientific and Industrial Research Organisation
CSIRO-CCAM-1704          CSIRO          unrestricted        Commonwealth Scientific and Industrial Research Organisation
CUNI-RegCM4-2            CUNI           unrestricted        Charles University
DHMZ-RegCM4-2            DHMZ           non-commercial      Meteorological and Hydrological Service of Croatia
DMI-HIRHAM5              DMI            unrestricted        Danish Meteorological Institute
ENEA-RegCM4-3            ENEA           non-commercial      Italian National Agency for New Technologies, Energy and Sustainable Economic Development
GERICS-AWI-REMO2009      GERICS-AWI     unrestricted        Helmholtz-Zentrum Geesthacht, Climate Service Center Germany, Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research
GERICS-AWI-ROM1.1        GERICS-AWI     unrestricted        Helmholtz-Zentrum Geesthacht, Climate Service Center Germany, Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research
GERICS-REMO2009          GERICS         unrestricted        Helmholtz-Zentrum Geesthacht, Climate Service Center Germany
GERICS-REMO2015          GERICS         unrestricted        Climate Service Center Germany
HMS-ALADIN52             HMS            non-commercial      Hungarian Meteorological Service
ICTP-RegCM4-3            ICTP           unrestricted         Abdus Salam International Centre for Theoretical Physics
ICTP-RegCM4-6            ICTP           unrestricted         Abdus Salam International Centre for Theoretical Physics
ICTP-RegCM4-7            ICTP           unrestricted         Abdus Salam International Centre for Theoretical Physics
IDL-WRF350D              IDL            non-commercial      Instituto Dom Luiz, University of Lisbon
IITM-RegCM4-1            IITM           non-commercial      Indian Institute of Tropical Meteorology
INPE-ETA                 INPE           unrestricted        National Institute for Space Research, Brazil
IPSL-INERIS-WRF331F      IPSL-INERIS    unrestricted        Institut Pierre-Simon Laplace
IPSL-INERIS-WRF361F      IPSL-INERIS    unrestricted        Institut Pierre-Simon Laplace
IPSL-WRF311              IPSL           non-commercial      Institut Pierre-Simon Laplace
IPSL-WRF311NEMO          IPSL           non-commercial      Institut Pierre-Simon Laplace
KNMI-RACMO21P            KNMI           unrestricted        Royal Netherlands Meteorological Institute, De Bilt, The Netherlands
KNMI-RACMO22E            KNMI           unrestricted        Royal Netherlands Meteorological Institute, De Bilt, The Netherlands
KNMI-RACMO22T            KNMI           unrestricted        Royal Netherlands Meteorological Institute, De Bilt, The Netherlands
KNU-RegCM4-0             KNU            unrestricted        Kongju National University, S. Korea
MGO-RRCM                 MGO            unrestricted        Main Geophysical Observatory, St. Petersburg
MIUB-WRF331A             MIUB           unrestricted        Meteorological Institute, Bonn University
MOHC-HadGEM3-RA          MOHC           unrestricted        Met Office Hadley Centre
MOHC-HadREM3-GA7-05      MOHC           unrestricted        Met Office Hadley Centre
MOHC-HadRM3P             MOHC           unrestricted        Met Office Hadley Centre
MPI-CSC-REMO2009         MPI-CSC        unrestricted        Helmholtz-Zentrum Geesthacht, Climate Service Center, Max Planck Institute for Meteorology
MU-WRF360M               MU             non-commercial      Murdoch University 
NIMS-KMA-HadGEM3-RA      NIMS-KMA       unrestricted        National Institute of Meteorological Sciences-Korea Meteorological Administration
NUIM-WRF341E             NUIM           non-commercial      National University of Ireland Maynooth
OURANOS-CRCM5            OURANOS        unrestricted        Ouranos Consortium on climate change
PNU-WRF370               PNU            unrestricted        Pusan National University, S. Korea
POSTECH-CCLM5-0-9        POSTECH        unrestricted        Pohang University of Science and Technology, S. Korea
RMIB-UGent-ALARO-0       RMIB-UGent     unrestricted        Royal Meteorological Institute of Belgium and Ghent University
SMHI-RCA4                SMHI           unrestricted        Swedish Meteorological and Hydrological Institute, Rossby Centre
SMHI-RCA4-SN             SMHI           unrestricted        Swedish Meteorological and Hydrological Institute, Rossby Centre
SMHI-RCAO                SMHI           unrestricted        Swedish Meteorological and Hydrological Institute, Rossby Centre
SMHI-RCAO-SN             SMHI           unrestricted        Swedish Meteorological and Hydrological Institute, Rossby Centre
UCAN-WRF331G             UCAN           unrestricted        University of Cantabria
UCAN-WRF341I             UCAN           unrestricted        University of Cantabria
UCLM-PROMES              UCLM           unrestricted        University of Castilla-La Mancha, Toledo, Spain
UHOH-WRF361H             UHOH           non-commercial      University of Hohenheim 
ULg-MAR36                ULg            unrestricted        Dpt. Of Geography, University of Liège, Belgium
UM-RegCM4-3              UM             unrestricted        University of Michigan
UM-WRF331                UM             unrestricted        Universidad de Murcia
UNIBELGRADE-EBU1         UNIBELGRADE    non-commercial      University of Belgrade, South East European Virtual Climate Change Center and University of Novi Sad
UNIBELGRADE-EBUPOM2c1    UNIBELGRADE    non-commercial      University of Belgrade, South East European Virtual Climate Change Center and University of Novi Sad
UNIST-SNURCM             UNIST          unrestricted        Ulsan National Institute of Science and Technology, S. Korea
UNSW-WRF360J             UNSW           unrestricted        University of New South Wales
UNSW-WRF360K             UNSW           unrestricted        University of New South Wales
UNSW-WRF360L             UNSW           unrestricted        University of New South Wales
UQAM-CRCM5               UQAM           unrestricted        Universite du Quebec a Montreal
UQAM-CRCM5-SN            UQAM           unrestricted        Universite du Quebec a Montreal
WEGC-WRF371O             WEGC           unrestricted        Wegener Center for Climate and Global Change, University of Graz
