# List of RCMModelName values for CORDEX 
# Do not change this file, its auto-generated based on the contents 
# of the CORDEX coordination sheet at: 
# https://github.com/IS-ENES-Data/cordex/raw/master/CORDEX_ESGF_coordination_issues.xlsx 
# Timestamp:  2014-11-07 12:27:40
# -------------------------------------------------------------- 
#  name                   institute      status         ToU            
#--------------------------------------------------------------- 
AUTH-LHTEE-WRF321B       AUTH-LHTEE     confirmed      unknown        
AUTH-Met-WRF331A         AUTH-Met       confirmed      unknown        
AWI-HIRHAM5              AWI            confirmed      unknown        
BCCR-WRF331C             BCCR           confirmed      unrestricted   
CHMI-ALADIN52            CHMI           confirmed      unknown        
CLMcom-CCLM4-8-17        CLMcom         confirmed      non-commercial only
CNRM-ALADIN52            CNRM           confirmed      unrestricted   
CNRM-ARPEGE52            CNRM           confirmed      unrestricted   
CRP-GL-WRF331A           CRP-GL         confirmed      unrestricted   
CSIRO-CCAM               CSIRO          confirmed      unknown        
CUNI-RegCM4-2            CUNI           confirmed      unknown        
DHMZ-RegCM4-2            DHMZ           confirmed      non-commercial only
DMI-HIRHAM5              DMI            confirmed      unrestricted   
HMS-ALADIN52             HMS            confirmed      non-commercial only
ICTP-RegCM4-3            ICTP           confirmed      unrestricted   
IDL-WRF331D              IDL            confirmed      unknown        
IITM-RegCM4-1            IITM           confirmed      non-commercial only
IPSL-INERIS-WRF331F      IPSL-INERIS    confirmed      unknown        
KNMI-RACMO21P            KNMI           confirmed      unrestricted   
KNMI-RACMO22E            KNMI           confirmed      unrestricted   
KNMI-RACMO22T            KNMI           confirmed      unrestricted   
MIUB-WRF331A             MIUB           confirmed      unknown        
MOHC-HadGEM3-RA          MOHC           confirmed      unrestricted   
MOHC-HadRM3P             MOHC           confirmed      unrestricted   
MPI-CSC-REMO2009         MPI-CSC        confirmed      unrestricted   
NUIM-WRF341E             NUIM           confirmed      non-commercial only
SMHI-RCA4                SMHI           confirmed      unrestricted   
SMHI-RCA4-SN             SMHI           confirmed      unrestricted   
SMHI-RCAO                SMHI           confirmed      unrestricted   
SMHI-RCAO-SN             SMHI           confirmed      unrestricted   
UCAN-WRF331G             UCAN           confirmed      non-commercial only
UCAN-WRF350I             UCAN           confirmed      unknown        
UCLM-PROMES              UCLM           confirmed      unknown        
UHOH-WRF331H             UHOH           confirmed      unknown        
UM-WRF331                UM             confirmed      unknown        
